id,ekatte,name_bg,name_en,type_prefix,obl_code,state_id/id,mun_code,mun_name,nuts3,postcode,lat,lng
bg_settlement_11048,11048,Виево,Vievo,с.,SML,tk_loan_management_bg.state_bg_SML,SML31,Смолян,BG424,4748,41.640891,24.828937
bg_settlement_06923,06923,Буката,Bukata,с.,SML,tk_loan_management_bg.state_bg_SML,SML31,Смолян,BG424,4763,41.495289,24.654177
bg_settlement_23950,23950,Дряново,Dryanovo,с.,PDV,tk_loan_management_bg.state_bg_PDV,PDV15,Лъки,BG421,4241,41.796329,24.787472
bg_settlement_20883,20883,Джурково,Dzhurkovo,с.,PDV,tk_loan_management_bg.state_bg_PDV,PDV15,Лъки,BG421,4241,41.774605,24.819809
bg_settlement_66130,66130,Селча,Selcha,с.,SML,tk_loan_management_bg.state_bg_SML,SML09,Девин,BG424,4814,41.839668,24.387413
bg_settlement_54198,54198,Осиково,Osikovo,с.,SML,tk_loan_management_bg.state_bg_SML,SML09,Девин,BG424,4819,41.902796,24.482243
bg_settlement_36796,36796,Кестен,Kesten,с.,SML,tk_loan_management_bg.state_bg_SML,SML09,Девин,BG424,4828,41.553422,24.43525
bg_settlement_29502,29502,Жребево,Zhrebevo,с.,SML,tk_loan_management_bg.state_bg_SML,SML09,Девин,BG424,4827,41.566174,24.416994
bg_settlement_18424,18424,Гьоврен,Gyovren,с.,SML,tk_loan_management_bg.state_bg_SML,SML09,Девин,BG424,4811,41.662374,24.372773
bg_settlement_11733,11733,Водни пад,Vodni pad,с.,SML,tk_loan_management_bg.state_bg_SML,SML09,Девин,BG424,4826,41.551914,24.380281
bg_settlement_39614,39614,Кремен,Kremen,с.,BLG,tk_loan_management_bg.state_bg_BLG,BLG01,Банско,BG413,2771,41.745012,23.640703
bg_settlement_44906,44906,Левище,Levishte,с.,SFO,tk_loan_management_bg.state_bg_SFO,SFO43,Своге,BG412,2276,43.08205,23.462327
bg_settlement_39270,39270,Краище,Kraishte,с.,BLG,tk_loan_management_bg.state_bg_BLG,BLG02,Белица,BG413,2781,41.912859,23.585224
bg_settlement_62685,62685,Рилски манастир,Rilski manastir,ман.,KNL,tk_loan_management_bg.state_bg_KNL,KNL38,Рила,BG415,2643,42.133951,23.339036
bg_settlement_55083,55083,Падала,Padala,с.,KNL,tk_loan_management_bg.state_bg_KNL,KNL38,Рила,BG415,2632,42.143627,23.191693
bg_settlement_73147,73147,Три могили,Tri mogili,с.,PDV,tk_loan_management_bg.state_bg_PDV,PDV01,Асеновград,BG421,4263,41.82314,25.06377
bg_settlement_70737,70737,Сини връх,Sini vrah,с.,PDV,tk_loan_management_bg.state_bg_PDV,PDV01,Асеновград,BG421,4236,41.8498,24.980266
bg_settlement_49151,49151,Мостово,Mostovo,с.,PDV,tk_loan_management_bg.state_bg_PDV,PDV01,Асеновград,BG421,4257,41.849703,24.937059
bg_settlement_80251,80251,Чеканец,Chekanets,с.,KNL,tk_loan_management_bg.state_bg_KNL,KNL31,Невестино,BG415,2577,42.076733,22.720378
bg_settlement_62058,62058,Раково,Rakovo,с.,KNL,tk_loan_management_bg.state_bg_KNL,KNL31,Невестино,BG415,2577,42.084364,22.719923
bg_settlement_21676,21676,Добростан,Dobrostan,с.,PDV,tk_loan_management_bg.state_bg_PDV,PDV01,Асеновград,BG421,4256,41.905255,24.925128
bg_settlement_12992,12992,Врата,Vrata,с.,PDV,tk_loan_management_bg.state_bg_PDV,PDV01,Асеновград,BG421,4234,41.86017,24.966584
bg_settlement_07870,07870,Бор,Bor,с.,PDV,tk_loan_management_bg.state_bg_PDV,PDV01,Асеновград,BG421,4233,41.835751,25.04794
bg_settlement_87816,87816,Свети Спас,Sveti Spas,с.,SFO,tk_loan_management_bg.state_bg_SFO,SFO59,Долна баня,BG412,,0,0
bg_settlement_24325,24325,Долна Дъбева,Dolna Dabeva,с.,PAZ,tk_loan_management_bg.state_bg_PAZ,PAZ08,Велинград,BG423,4655,42.026576,23.881126
bg_settlement_18527,18527,Горна Дъбева,Gorna Dabeva,с.,PAZ,tk_loan_management_bg.state_bg_PAZ,PAZ08,Велинград,BG423,4648,41.997499,23.820604
bg_settlement_68240,68240,Сполука,Spoluka,с.,KRZ,tk_loan_management_bg.state_bg_KRZ,KRZ02,Ардино,BG425,6799,41.694127,25.148323
bg_settlement_18513,18513,Горна Биркова,Gorna Birkova,с.,PAZ,tk_loan_management_bg.state_bg_PAZ,PAZ08,Велинград,BG423,4657,41.958804,23.805582
bg_settlement_06879,06879,Буйново,Buynovo,с.,SML,tk_loan_management_bg.state_bg_SML,SML05,Борино,BG424,4812,41.560379,24.314631
bg_settlement_05462,05462,Борино,Borino,с.,SML,tk_loan_management_bg.state_bg_SML,SML05,Борино,BG424,4824,41.683555,24.292536
bg_settlement_87223,87223,Ягодина,Yagodina,с.,SML,tk_loan_management_bg.state_bg_SML,SML05,Борино,BG424,4835,41.634355,24.351428
bg_settlement_80159,80159,Чала,Chala,с.,SML,tk_loan_management_bg.state_bg_SML,SML05,Борино,BG424,4836,41.631392,24.302904
bg_settlement_37592,37592,Кожари,Kozhari,с.,SML,tk_loan_management_bg.state_bg_SML,SML05,Борино,BG424,4813,41.543334,24.338723
bg_settlement_05737,05737,Босилково,Bosilkovo,с.,SML,tk_loan_management_bg.state_bg_SML,SML02,Баните,BG424,4945,41.699065,24.952315
bg_settlement_70158,70158,Стърница,Starnitsa,с.,SML,tk_loan_management_bg.state_bg_SML,SML02,Баните,BG424,4957,41.6655,24.929396
bg_settlement_40326,40326,Кръстатица,Krastatitsa,с.,SML,tk_loan_management_bg.state_bg_SML,SML02,Баните,BG424,4741,41.639573,24.958481
bg_settlement_30209,30209,Загражден,Zagrazhden,с.,SML,tk_loan_management_bg.state_bg_SML,SML02,Баните,BG424,4950,41.719495,24.994143
bg_settlement_20033,20033,Давидково,Davidkovo,с.,SML,tk_loan_management_bg.state_bg_SML,SML02,Баните,BG424,4944,41.666592,24.963992
bg_settlement_30034,30034,Забърдо,Zabardo,с.,SML,tk_loan_management_bg.state_bg_SML,SML38,Чепеларе,BG424,4872,41.784256,24.590643
bg_settlement_23929,23929,Дряновец,Dryanovets,с.,SML,tk_loan_management_bg.state_bg_SML,SML38,Чепеларе,BG424,4856,41.766913,24.696959
bg_settlement_15117,15117,Глогино,Glogino,с.,SML,tk_loan_management_bg.state_bg_SML,SML02,Баните,BG424,4948,41.713246,24.962927
bg_settlement_37472,37472,Ковачевица,Kovachevitsa,с.,BLG,tk_loan_management_bg.state_bg_BLG,BLG13,Гърмен,BG413,2969,41.685338,23.82696
bg_settlement_48146,48146,Миле,Mile,с.,SML,tk_loan_management_bg.state_bg_SML,SML16,Мадан,BG424,4921,41.584707,24.991616
bg_settlement_20064,20064,Дагоново,Dagonovo,с.,BLG,tk_loan_management_bg.state_bg_BLG,BLG02,Белица,BG413,2779,41.95434,23.593379
bg_settlement_02107,02107,Бабяк,Babyak,с.,BLG,tk_loan_management_bg.state_bg_BLG,BLG02,Белица,BG413,2784,41.955328,23.681105
bg_settlement_80649,80649,Черешово,Chereshovo,с.,BLG,tk_loan_management_bg.state_bg_BLG,BLG02,Белица,BG413,2787,41.948938,23.708215
bg_settlement_77596,77596,Горно Краище,Gorno Kraishte,с.,BLG,tk_loan_management_bg.state_bg_BLG,BLG02,Белица,BG413,2783,41.902036,23.589126
bg_settlement_04100,04100,Билянска,Bilyanska,с.,SML,tk_loan_management_bg.state_bg_SML,SML31,Смолян,BG424,4789,41.449879,24.61833
bg_settlement_02782,02782,Горна Арда,Gorna Arda,с.,SML,tk_loan_management_bg.state_bg_SML,SML31,Смолян,BG424,4788,41.449924,24.608792
bg_settlement_02076,02076,Баблон,Bablon,с.,SML,tk_loan_management_bg.state_bg_SML,SML31,Смолян,BG424,4774,41.479216,24.700614
bg_settlement_00597,00597,Арда,Arda,с.,SML,tk_loan_management_bg.state_bg_SML,SML31,Смолян,BG424,4790,41.462901,24.639544
bg_settlement_00388,00388,Алиговска,Aligovska,с.,SML,tk_loan_management_bg.state_bg_SML,SML31,Смолян,BG424,4787,41.449169,24.642018
bg_settlement_06255,06255,Бреза,Breza,с.,SML,tk_loan_management_bg.state_bg_SML,SML27,Рудозем,BG424,4959,41.450314,24.87099
bg_settlement_57399,57399,Поляна,Polyana,с.,SML,tk_loan_management_bg.state_bg_SML,SML27,Рудозем,BG424,4977,41.430366,24.747592
bg_settlement_49165,49165,Мочуре,Mochure,с.,SML,tk_loan_management_bg.state_bg_SML,SML27,Рудозем,BG424,4978,41.405243,24.76384
bg_settlement_83274,83274,Широка лъка,Shiroka laka,с.,SML,tk_loan_management_bg.state_bg_SML,SML31,Смолян,BG424,4710,41.6802,24.581008
bg_settlement_81520,81520,Чокманово,Chokmanovo,с.,SML,tk_loan_management_bg.state_bg_SML,SML31,Смолян,BG424,4760,41.535864,24.730484
bg_settlement_80666,80666,Черешово,Chereshovo,с.,SML,tk_loan_management_bg.state_bg_SML,SML31,Смолян,BG424,4772,41.516924,24.641143
bg_settlement_80604,80604,Черешките,Chereshkite,с.,SML,tk_loan_management_bg.state_bg_SML,SML31,Смолян,BG424,4771,41.503574,24.589598
bg_settlement_80412,80412,Чеплетен,Chepleten,с.,SML,tk_loan_management_bg.state_bg_SML,SML31,Смолян,BG424,4786,41.460649,24.756795
bg_settlement_80193,80193,Чамла,Chamla,с.,SML,tk_loan_management_bg.state_bg_SML,SML31,Смолян,BG424,4716,41.622657,24.45366
bg_settlement_77205,77205,Хасовица,Hasovitsa,с.,SML,tk_loan_management_bg.state_bg_SML,SML31,Смолян,BG424,4746,41.58252,24.752149
bg_settlement_59330,59330,Палатик,Palatik,с.,BLG,tk_loan_management_bg.state_bg_BLG,BLG02,Белица,BG413,2782,41.910561,23.669598
bg_settlement_76042,76042,Фатово,Fatovo,с.,SML,tk_loan_management_bg.state_bg_SML,SML31,Смолян,BG424,4797,41.54269,24.780803
bg_settlement_75215,75215,Ухловица,Uhlovitsa,с.,SML,tk_loan_management_bg.state_bg_SML,SML31,Смолян,BG424,4769,41.510275,24.655642
bg_settlement_30847,30847,Зимевица,Zimevitsa,с.,SFO,tk_loan_management_bg.state_bg_SFO,SFO43,Своге,BG412,2282,43.048605,23.292036
bg_settlement_40662,40662,Купен,Kupen,с.,SML,tk_loan_management_bg.state_bg_SML,SML16,Мадан,BG424,4921,41.605891,24.979477
bg_settlement_18040,18040,Губислав,Gubislav,с.,SFO,tk_loan_management_bg.state_bg_SFO,SFO43,Своге,BG412,2274,43.09721,23.314669
bg_settlement_00881,00881,Абланица,Ablanitsa,с.,PAZ,tk_loan_management_bg.state_bg_PAZ,PAZ08,Велинград,BG423,4645,42.009569,23.861914
bg_settlement_14194,14194,Габровница,Gabrovnitsa,с.,SFO,tk_loan_management_bg.state_bg_SFO,SFO43,Своге,BG412,2277,43.054433,23.47551
bg_settlement_07435,07435,Бърдо,Bardo,с.,SFO,tk_loan_management_bg.state_bg_SFO,SFO20,Ихтиман,BG412,2060,42.568939,23.806866
bg_settlement_17823,17823,Грашево,Grashevo,с.,PAZ,tk_loan_management_bg.state_bg_PAZ,PAZ08,Велинград,BG423,4618,41.958822,23.923588
bg_settlement_73482,73482,Турян,Turyan,с.,SML,tk_loan_management_bg.state_bg_SML,SML31,Смолян,BG424,4753,41.535487,24.67488
bg_settlement_73033,73033,Требище,Trebishte,с.,SML,tk_loan_management_bg.state_bg_SML,SML31,Смолян,BG424,4737,41.563732,24.900588
bg_settlement_12989,12989,Враненци,Vranentsi,с.,PAZ,tk_loan_management_bg.state_bg_PAZ,PAZ08,Велинград,BG423,4649,41.9949,23.815639
bg_settlement_72391,72391,Тикале,Tikale,с.,SML,tk_loan_management_bg.state_bg_SML,SML31,Смолян,BG424,4729,41.600701,24.829901
bg_settlement_12334,12334,Всемирци,Vsemirtsi,с.,PAZ,tk_loan_management_bg.state_bg_PAZ,PAZ08,Велинград,BG423,4622,42.029673,23.865213
bg_settlement_07867,07867,Бутрева,Butreva,с.,PAZ,tk_loan_management_bg.state_bg_PAZ,PAZ08,Велинград,BG423,4652,42.006351,23.799473
bg_settlement_07853,07853,Бозьова,Bozyova,с.,PAZ,tk_loan_management_bg.state_bg_PAZ,PAZ08,Велинград,BG423,4654,41.935587,23.758899
bg_settlement_07836,07836,Биркова,Birkova,с.,PAZ,tk_loan_management_bg.state_bg_PAZ,PAZ08,Велинград,BG423,4650,41.984486,23.814507
bg_settlement_04491,04491,Бобешино,Bobeshino,с.,KNL,tk_loan_management_bg.state_bg_KNL,KNL29,Кюстендил,BG415,2567,42.304704,22.427898
